STATION_LATITUDE,STATION_LONGITUDE,RAIN_LAST10MIN,TEMPERATURE_TC,HUMIDITY,PRESSURE_SURFACE,TIMEOBSERVATION
37.54832778,127.0452444,0,17.7,60.2,995.3,2016-04-16 18:00
37.53765806,127.0456922,0.1,18.2,60.8,998.3,2016-04-16 18:00
37.53893056,127.0553556,0,18.1,59.4,997.2,2016-04-16 18:00
37.54976944,127.0562861,0.1,17.1,59.2,995.2,2016-04-16 18:00
37.54108611,127.0173611,0,17.4,63.3,994.2,2016-04-16 18:00
37.56511111,127.0542417,0,17.7,59.4,994.6,2016-04-16 18:00
37.55801667,127.0387222,0,17.6,61.5,995.6,2016-04-16 18:00
37.610769,127.018242,0,17,60.8,992.3,2016-04-16 18:00
37.59603611,127.0157111,0.1,17.7,59.7,994.5,2016-04-16 18:00
37.58283278,127.0210758,0,18,58,995.2,2016-04-16 18:00
37.58842778,127.017825,0,17.2,60.4,994.8,2016-04-16 18:00
37.61088833,127.0578619,0.1,18,57.4,996.4,2016-04-16 18:00
37.60532778,127.0621722,0,18,56.8,997.1,2016-04-16 18:00
37.59340361,127.0016578,0.1,17.6,62.6,994.2,2016-04-16 18:00
37.61831556,127.0465847,0,17.1,57.7,996.5,2016-04-16 18:00
37.60461111,127.012025,0,17.4,60.8,993.5,2016-04-16 18:00
37.61055722,127.0050014,0.1,17.3,59.9,990.3,2016-04-16 18:00
37.59818056,127.0352306,0.1,17,60.3,996.5,2016-04-16 18:00
37.49736389,127.1355361,0,16.2,64.2,994.7,2016-04-16 18:00
37.49551111,127.1313611,0,16.9,64.5,994.5,2016-04-16 18:00
37.49811111,127.1463222,0.1,17.7,63.4,996.4,2016-04-16 18:00
37.48809167,127.1316083,0,17,65.6,995.1,2016-04-16 18:00
37.49111222,127.1150017,0.1,17.6,63.5,996.6,2016-04-16 18:00
37.47978333,127.1261778,0.1,17.6,62,996.7,2016-04-16 18:00
37.51370833,127.1221861,0,17.3,61.6,996.6,2016-04-16 18:00
37.51690583,127.1133711,0,17.4,62,991.1,2016-04-16 18:00
37.51539444,127.1073639,0,17.6,60.5,991.9,2016-04-16 18:00
37.50318889,127.0931639,0,17.6,63.8,996.2,2016-04-16 18:00
37.49863361,127.0997264,0,17.7,63.3,997.4,2016-04-16 18:00
37.50663611,127.1064444,0.1,17.5,60.6,996.8,2016-04-16 18:00
37.50599444,127.1322528,0,17.7,63.1,994.6,2016-04-16 18:00
37.51134722,127.0816278,0,17.6,57.8,996.5,2016-04-16 18:00
37.50533333,127.0851667,0,18,59.3,997.6,2016-04-16 18:00
37.53779667,126.8725231,0,16.8,71,997.2,2016-04-16 18:00
37.53568333,126.8779722,0.1,16.8,61.5,990.3,2016-04-16 18:00
